"","SPE","SPE_Flag","T2","T2_Flag"
"2018-03-03 00:00:17",10.1409380961804,0,14.0705755048061,0
"2018-03-03 00:01:11",3.05802279667986,0,14.5737197306114,0
"2018-03-03 00:02:11",1.6119808208313,0,16.2802885398778,0
"2018-03-03 00:03:11",1.75598190251717,0,29.6057564667145,0
"2018-03-03 00:04:11",2.82937863857446,0,27.0086640361781,0
"2018-03-03 00:05:11",1.37228626612604,0,14.17456931595,0
"2018-03-03 00:06:11",4.42278460325289,0,15.1208699141534,0
"2018-03-03 00:07:11",6.19870529446273,0,19.3643601924698,0
"2018-03-03 00:08:11",5.2163717358725,0,26.6266919084795,0
"2018-03-03 00:09:11",5.22046220796221,0,24.35019344737,0
"2018-03-03 00:10:11",6.83370027253886,0,18.6471971707526,0
"2018-03-03 00:11:11",7.71564053651747,0,120.96278401065,0
"2018-03-03 00:12:11",5.07516985906517,0,125.423771791748,0
"2018-03-03 00:13:11",3.85547876696348,0,15.9703420373058,0
"2018-03-03 00:14:11",13.9362953924037,0,41.5446800600867,0
"2018-03-03 00:15:11",11.4288939598987,0,44.5945902308781,0
"2018-03-03 00:16:11",1.67127845950652,0,18.0681335328653,0
"2018-03-03 00:17:11",1.33559257341928,0,17.5660662077857,0
"2018-03-03 00:18:11",1.93107946138988,0,29.2686949863036,0
"2018-03-03 00:19:11",1.1372754343865,0,32.5462468190391,0
"2018-03-03 00:20:12",0.947591597976206,0,33.2195161789753,0
"2018-03-03 00:21:12",1.42927637728652,0,35.8017471472689,0
"2018-03-03 00:22:12",0.767926371267617,0,37.5058973714759,0
"2018-03-03 00:23:12",1.35430507080147,0,34.8546494480131,0
"2018-03-03 00:24:12",9.40627700851786,0,192.051008689687,0
"2018-03-03 00:25:12",10.5156123709775,0,202.699236910984,0
"2018-03-03 00:26:12",7.82633258640792,0,27.47226760321,0
"2018-03-03 00:27:12",3.39220998950491,0,21.588131910959,0
"2018-03-03 00:28:12",3.48348390796108,0,18.9496916884814,0
"2018-03-03 00:29:12",4.48533258280787,0,22.815824144045,0
"2018-03-03 00:30:12",4.84568509584105,0,39.6413757905907,0
"2018-03-03 00:31:12",6.54021005927751,0,28.1211795867661,0
"2018-03-03 00:32:12",1.56513953278066,0,12.3267382901707,0
"2018-03-03 00:33:12",2.038101441726,0,11.5537243325623,0
"2018-03-03 00:34:12",4.42250864866545,0,12.8980742239042,0
"2018-03-03 00:35:12",7.52436915647863,0,26.3429700033731,0
"2018-03-03 00:36:12",8.31279736702146,0,26.9872726512697,0
"2018-03-03 00:37:12",7.43804907108117,0,17.7697824615969,0
"2018-03-03 00:38:12",11.5377107555208,0,20.3717933143001,0
"2018-03-03 00:39:12",8.28083601728446,0,13.504460529432,0
"2018-03-03 00:40:12",2.0908026315465,0,14.6904300615909,0
"2018-03-03 00:41:12",5.36866803848011,0,26.3946285847986,0
"2018-03-03 00:42:12",6.7929375479733,0,24.3151015578823,0
"2018-03-03 00:43:13",2.79160342100773,0,13.4654430197045,0
"2018-03-03 00:44:13",4.25260570669356,0,12.75604791743,0
"2018-03-03 00:45:13",5.57103115290854,0,12.4029041422519,0
"2018-03-03 00:46:13",10.0108372078796,0,17.2590492565988,0
"2018-03-03 00:47:13",10.6878067356933,0,31.6568563564282,0
"2018-03-03 00:48:13",15.6721391899684,0,34.9704605287541,0
"2018-03-03 00:49:13",21.3032327721951,0,27.2707854006883,0
"2018-03-03 00:50:13",14.7090038061813,0,120.779508503214,0
"2018-03-03 00:51:13",4.51308387799655,0,125.888042485689,0
"2018-03-03 00:52:13",4.6153683914283,0,25.7692364366447,0
"2018-03-03 00:53:13",12.291034135967,0,25.8508191803898,0
"2018-03-03 00:54:13",7.90497000685657,0,22.8914089530873,0
"2018-03-03 00:55:13",5.16557101856981,0,14.3593170815886,0
"2018-03-03 00:56:13",2.23513251374905,0,12.0088473734712,0
"2018-03-03 00:57:13",3.33642462135967,0,11.2737817284977,0
"2018-03-03 00:58:13",3.85481190217458,0,26.2238557556837,0
"2018-03-03 00:59:13",2.79561343652165,0,23.54112341108,0
"2018-03-03 01:00:13",2.1142870013123,0,11.0352946959817,0
"2018-03-03 01:01:13",2.52341613836838,0,11.2310800490656,0
"2018-03-03 01:02:13",2.52786264248408,0,12.8140297721981,0
"2018-03-03 01:03:13",7.21670878264162,0,31.5309258666808,0
"2018-03-03 01:04:13",12.7042025546235,0,32.3724046781318,0
"2018-03-03 01:05:13",2.96883200186529,0,13.0082532599353,0
"2018-03-03 01:06:13",2.10620235217507,0,12.3819677785619,0
"2018-03-03 01:07:13",1.87409184091107,0,12.551330958997,0
"2018-03-03 01:08:14",2.068688163777,0,13.549760771159,0
"2018-03-03 01:09:14",6.22500571905906,0,23.8392786021317,0
"2018-03-03 01:10:14",4.76627605590637,0,22.3777264999617,0
"2018-03-03 01:11:14",0.963330384553243,0,11.8837553843844,0
"2018-03-03 01:12:14",3.69068780504048,0,12.5722687458905,0
"2018-03-03 01:13:14",7.38175090132725,0,13.6898943410876,0
"2018-03-03 01:14:14",8.45825128375108,0,24.8874784509854,0
