"","SPE","SPE_Flag","T2","T2_Flag"
"2018-05-04 00:05:21",7.02579243712464e-31,0,4.6383053913366,0
"2018-05-04 00:08:21",3.51289621856232e-31,0,1.89542485785111,0
"2018-05-04 00:10:22",5.66993775627602e-31,0,2.2311729652828,0
"2018-05-04 00:14:22",1.15748389657673e-31,0,2.00576749546928,0
"2018-05-04 00:16:22",2.83496887813801e-31,0,1.47073175890322,0
"2018-05-04 00:18:22",3.45126646034193e-31,0,2.0141565129348,0
"2018-05-04 00:21:22",1.38666955995881e-31,0,2.83876095289304,0
"2018-05-04 00:25:22",1.67170719172812e-31,0,0.597262544748023,0
"2018-05-04 00:27:22",8.70520334863031e-32,0,1.01516809821965,0
"2018-05-04 00:29:22",2.37467162142946e-31,0,1.20605502209383,0
"2018-05-04 00:31:22",4.19082355898663e-31,0,2.84952496519975,0
"2018-05-04 00:36:22",3.94430452610506e-31,0,2.55073252646016,0
"2018-05-04 00:38:22",1.08776523258991e-30,0,6.02211614571649,0
"2018-05-04 00:42:22",3.82104500966428e-31,0,3.18779507958337,0
"2018-05-04 00:44:23",7.76534953576933e-31,0,3.99112199033637,0
"2018-05-04 00:47:23",6.93334779979405e-31,0,3.77637244490172,0
"2018-05-04 00:49:23",8.0426834477611e-31,0,4.0956901344736,0
"2018-05-04 00:55:23",4.68386162474976e-31,0,3.05969008249732,0
"2018-05-04 00:57:23",4.22163843809682e-31,0,2.59392548121315,0
"2018-05-04 01:00:23",3.82104500966428e-31,0,3.01112932276369,0
"2018-05-04 01:02:23",1.89944840765191e-31,0,2.20466573587234,0
"2018-05-04 01:04:23",5.17689969051289e-31,0,3.61559429558515,0
"2018-05-04 01:08:23",1.10933564796705e-31,0,3.84128869363558,0
"2018-05-04 01:10:23",3.76711897122143e-31,0,3.77478525452489,0
"2018-05-04 01:13:24",1.73360778384694e-31,0,1.64379931175175,0
"2018-05-04 01:15:24",8.61372167627191e-32,0,0.734671486652841,0
"2018-05-04 01:19:24",2.00296714216273e-31,0,3.67499815785401,0
"2018-05-04 01:21:24",1.42518815884655e-31,0,0.849251400208324,0
"2018-05-04 01:23:24",1.60237371373018e-31,0,1.86567788334132,0
"2018-05-04 01:26:24",1.01689101063646e-31,0,0.591591717073295,0
"2018-05-04 01:30:24",3.15852510879507e-32,0,0.50878253605934,0
"2018-05-04 01:32:24",6.5481618109166e-32,0,0.804123977274037,0
"2018-05-04 01:34:24",9.62964972193618e-32,0,1.04445622785534,0
"2018-05-04 01:36:25",1.38666955995881e-31,0,1.78408043780386,0
"2018-05-04 01:41:25",5.0844550531823e-31,0,3.02875567088531,0
"2018-05-04 01:43:25",2.00296714216273e-31,0,1.47995430063594,0
"2018-05-04 01:47:25",1.75644810928116e-31,0,0.978626676039207,0
"2018-05-04 01:49:25",1.84889274661175e-31,0,1.22486079317936,0
"2018-05-04 01:52:25",3.35882182301134e-31,0,1.96534464157503,0
"2018-05-04 01:54:25",3.20474742746036e-31,0,2.01991170571631,0
"2018-05-04 01:58:25",5.06537819046168e-31,0,4.00789252549194,0
"2018-05-04 02:00:25",3.88267476788467e-31,0,1.92190324967126,0
"2018-05-04 02:02:26",2.34963453215243e-31,0,1.07355900143699,0
"2018-05-04 02:05:26",2.2186712959341e-31,0,3.0971423856144,0
"2018-05-04 02:09:26",3.69778549322349e-31,0,2.11099485031483,0
"2018-05-04 02:11:26",4.68386162474976e-31,0,2.37119253803447,0
"2018-05-04 02:13:26",7.70371977754894e-32,0,0.90758014213827,0
"2018-05-04 02:15:26",2.2186712959341e-31,0,3.28982620473398,0
"2018-05-04 02:20:26",9.24446373305873e-32,0,0.937222248269627,0
"2018-05-04 02:22:26",2.10311549927086e-31,0,1.3721354651624,0
"2018-05-04 02:24:26",1.09554615883642e-31,0,2.10532423122551,0
"2018-05-04 02:26:27",8.39705455752835e-32,0,0.557226001753578,0
"2018-05-04 02:28:27",1.38666955995881e-31,0,0.614201202731667,0
"2018-05-04 02:31:27",6.53134001655859e-31,0,2.40430712176777,0
"2018-05-04 02:33:27",1.87970762572194e-31,0,1.94100701800521,0
"2018-05-04 02:37:27",5.73927123427396e-31,0,3.0693723755704,0
"2018-05-04 02:39:27",4.19082355898663e-31,0,2.7505944394146,0
"2018-05-04 02:41:27",5.824012151827e-31,0,4.02317326022133,0
"2018-05-04 02:44:27",8.0426834477611e-31,0,3.54776731747661,0
"2018-05-04 02:48:27",1.10978101926669e-30,0,4.74311304133111,0
"2018-05-04 02:50:27",1.11241713587807e-30,0,5.12485460516939,0
"2018-05-04 02:52:27",3.27870313732483e-30,0,15.1529723849334,0
"2018-05-04 02:57:27",8.0118685686509e-31,0,3.24656357884702,0
"2018-05-04 02:59:28",4.9939363457961e-31,0,3.05224386866653,0
"2018-05-04 03:03:28",2.12622665860351e-31,0,1.49420381531519,0
"2018-05-04 03:05:28",4.63956523602885e-31,0,2.16673218581685,0
"2018-05-04 03:07:28",1.38666955995881e-31,0,1.00023751113607,0
"2018-05-04 03:10:28",1.29422492262822e-31,0,0.859044594181436,0
"2018-05-04 03:14:28",8.33927665919673e-32,0,2.78214716633486,0
"2018-05-04 03:16:28",2.85085780017921e-31,0,2.21672985024358,0
"2018-05-04 03:20:28",2.38044941126262e-31,0,1.25155955285454,0
"2018-05-04 03:25:28",1.23452109435222e-31,0,0.490076093483142,0
"2018-05-04 03:27:29",2.61926472436664e-31,0,2.45673747515761,0
"2018-05-04 03:31:29",8.08890576642639e-32,0,0.556328179011756,0
"2018-05-04 03:33:29",1.01689101063646e-31,0,1.92763403012116,0
