"","SPE","SPE_Flag","T2","T2_Flag"
"2018-05-04 00:00:21",4.30649080219995,0,34.8514318685593,0
"2018-05-04 00:01:21",2.11255495995604,0,17.8122108254341,0
"2018-05-04 00:02:21",1.33499216741855,0,7.71066981368299,0
"2018-05-04 00:03:21",1.11995235537124,0,11.4555299241164,0
"2018-05-04 00:04:21",2.34972121677083,0,8.96795758311604,0
"2018-05-04 00:05:21",2.77853360392207,0,14.9430511749587,0
"2018-05-04 00:06:21",4.63721083993278,0,37.2088336800184,0
"2018-05-04 00:07:21",2.95327099210283,0,13.681165800487,0
"2018-05-04 00:08:21",2.06204714804013,0,15.3489949568888,0
"2018-05-04 00:09:22",3.40365022138256,0,14.5099546483977,0
"2018-05-04 00:10:22",2.32540534474173,0,12.6535347802153,0
"2018-05-04 00:11:22",2.42147006283978,0,12.1737247692382,0
"2018-05-04 00:12:22",2.43432391684655,0,24.8846943228015,0
"2018-05-04 00:13:22",1.59592995900765,0,14.8101234927517,0
"2018-05-04 00:14:22",3.24074490400312,0,12.8032064844723,0
"2018-05-04 00:15:22",3.22433300678326,0,11.5447736582679,0
"2018-05-04 00:16:22",2.44689856317642,0,12.8784986198848,0
"2018-05-04 00:17:22",3.10729555793214,0,23.4331127439539,0
"2018-05-04 00:18:22",2.77796819831454,0,18.1407146248721,0
"2018-05-04 00:19:22",3.07235428825004,0,84.003108051742,0
"2018-05-04 00:20:22",2.03990801983158,0,13.7030914983003,0
"2018-05-04 00:21:22",2.29521222086431,0,14.5592414803455,0
"2018-05-04 00:22:22",1.19103297537969,0,11.1354018945907,0
"2018-05-04 00:23:22",1.92739811768882,0,20.0847308232775,0
"2018-05-04 00:24:22",2.83248046433634,0,8.68388864302394,0
"2018-05-04 00:25:22",1.58038800983657,0,10.1829598881385,0
"2018-05-04 00:26:22",2.11319547377902,0,12.5496760150536,0
"2018-05-04 00:27:22",0.724089629376285,0,11.3989562363676,0
"2018-05-04 00:28:22",2.7791218337775,0,23.8197347326096,0
"2018-05-04 00:29:22",11.1103252391253,0,14.3250444891538,0
"2018-05-04 00:30:22",1.62829387660793,0,10.0534040482402,0
"2018-05-04 00:31:22",1.18723316884439,0,12.7264272121289,0
"2018-05-04 00:32:22",2.09461001129015,0,62.4092714988733,0
"2018-05-04 00:33:22",1.67699606522456,0,10.5940358507159,0
"2018-05-04 00:34:22",3.39919579130772,0,23.4797361824984,0
"2018-05-04 00:35:22",1.0386955330365,0,12.2830955949158,0
"2018-05-04 00:36:22",0.594837314989895,0,10.262522998535,0
"2018-05-04 00:37:22",0.865676429923552,0,11.3789262203294,0
"2018-05-04 00:38:22",1.63918973578172,0,14.7306932771579,0
"2018-05-04 00:39:22",4.46676225436621,0,22.4425416831873,0
"2018-05-04 00:40:22",1.39592581881458,0,15.7927662234333,0
"2018-05-04 00:41:22",0.693905028563524,0,10.0163176847466,0
"2018-05-04 00:42:22",0.961065984484886,0,8.95034255778325,0
"2018-05-04 00:43:23",1.31229067866896,0,8.53937991311378,0
"2018-05-04 00:44:23",7.1969061628601,0,12.4709541504161,0
"2018-05-04 00:45:23",2.20351264408599,0,21.241546993549,0
"2018-05-04 00:46:23",0.926954356385464,0,11.7794026247933,0
"2018-05-04 00:47:23",0.662181647979096,0,11.218248666905,0
"2018-05-04 00:48:23",0.636191428959076,0,12.123020308091,0
"2018-05-04 00:49:23",0.406937411932886,0,11.3282308604515,0
"2018-05-04 00:50:23",1.41223020293294,0,17.3266228950758,0
"2018-05-04 00:51:23",1.86204952666547,0,21.9119616929364,0
"2018-05-04 00:52:23",0.770937619971527,0,11.4563256422686,0
"2018-05-04 00:53:23",2.16331282790054,0,29.5373670200817,0
"2018-05-04 00:54:23",8.44262457870246,0,36.8609669438991,0
"2018-05-04 00:55:23",12.5890773446345,0,25.3545606946519,0
"2018-05-04 00:56:23",4.16564458075692,0,12.2404087880539,0
"2018-05-04 00:57:23",4.77525902759362,0,14.822983105981,0
"2018-05-04 00:58:23",4.08240299894551,0,81.5721775307492,0
"2018-05-04 00:59:23",2.2892809310438,0,15.4584960666124,0
"2018-05-04 01:00:23",2.89207914999547,0,27.508640260095,0
"2018-05-04 01:01:23",2.89654941512674,0,8.70775607667678,0
"2018-05-04 01:02:23",2.30877627989636,0,7.80111851595327,0
"2018-05-04 01:03:23",4.99684152885112,0,24.6509663130371,0
"2018-05-04 01:04:23",2.7447071085537,0,8.08513932206308,0
"2018-05-04 01:05:23",4.08291772540649,0,7.60789164938158,0
"2018-05-04 01:06:23",6.43912893566378,0,19.5579161536266,0
"2018-05-04 01:07:23",3.76437587098221,0,9.57002323371505,0
"2018-05-04 01:08:23",2.85048078988623,0,16.6086033907956,0
"2018-05-04 01:09:23",2.3831205300566,0,14.394402769098,0
"2018-05-04 01:10:23",8.51765984197172,0,14.8520523599399,0
"2018-05-04 01:11:24",5.70586018030195,0,41.1385632015702,0
"2018-05-04 01:12:24",3.63599864193985,0,13.0550599668111,0
"2018-05-04 01:13:24",2.08423330586836,0,13.2011929881935,0
"2018-05-04 01:14:24",2.26646782431942,0,11.4480863784046,0
"2018-05-04 01:15:24",2.61013890951387,0,10.9431280836829,0
"2018-05-04 01:16:24",2.23176464997027,0,11.555687439168,0
"2018-05-04 01:17:24",5.01996717355023,0,18.2001688150091,0
"2018-05-04 01:18:24",1.5526776694236,0,8.91795075324405,0
"2018-05-04 01:19:24",1.21660184314535,0,10.6884741837714,0
"2018-05-04 01:20:24",3.84034105110203,0,11.2580901192276,0
