"","SPE","SPE_Flag","T2","T2_Flag"
"2018-01-05 00:03:56",0.719378999349351,0,11.0978137070635,0
"2018-01-05 00:05:56",1.07733269775052,0,13.2434087967496,0
"2018-01-05 00:06:56",2.10045897225204,0,13.1681675353634,0
"2018-01-05 00:08:56",1.75772241057354,0,14.6892929472298,0
"2018-01-05 00:12:56",1.94453680687468,0,13.5887453143473,0
"2018-01-05 00:14:56",2.90196369821022,0,6.72915558073166,0
"2018-01-05 00:16:56",3.29998450106757,0,6.99362673940324,0
"2018-01-05 00:18:56",2.5508200334337,0,7.64045810316011,0
"2018-01-05 00:23:56",2.83497415451956,0,6.2735874319083,0
"2018-01-05 00:25:56",2.43379432996642,0,7.41170154113118,0
"2018-01-05 00:27:56",1.99357875853814,0,13.4351123050883,0
"2018-01-05 00:29:56",1.57208173942235,0,16.6218298508268,0
"2018-01-05 00:31:57",1.85790881555968,0,9.62059293204073,0
"2018-01-05 00:34:57",2.23771942954698,0,6.45941162701314,0
"2018-01-05 00:36:57",1.27450325469202,0,14.1948160542082,0
"2018-01-05 00:38:57",13.3015081425165,0,40.3701534872152,0
"2018-01-05 00:40:57",11.234750155557,0,40.7227871134575,0
"2018-01-05 00:42:57",3.30979982639473,0,12.7606265368089,0
"2018-01-05 00:44:57",3.18610692457114,0,13.5009614321627,0
"2018-01-05 00:47:57",2.39318527879871,0,18.2217072822526,0
"2018-01-05 00:51:57",2.50791636590763,0,15.890967552856,0
"2018-01-05 00:53:57",1.92561052788473,0,10.5802372230113,0
"2018-01-05 00:55:57",1.45834380194432,0,10.4302297150641,0
"2018-01-05 00:57:57",0.648060750972746,0,15.8256839544168,0
"2018-01-05 01:02:58",0.564435472593926,0,15.4295427796264,0
"2018-01-05 01:04:58",0.56287357877825,0,16.2203787116868,0
"2018-01-05 01:06:58",0.501149379583764,0,18.3506821596664,0
"2018-01-05 01:08:58",0.665492686985315,0,13.7524810720713,0
"2018-01-05 01:10:58",0.942161505969889,0,12.5199611544235,0
"2018-01-05 01:13:58",2.05582412293675,0,12.1504993605181,0
"2018-01-05 01:15:58",2.68253246441939,0,11.9544349517888,0
"2018-01-05 01:17:58",1.23573528324726,0,18.9267412521952,0
"2018-01-05 01:19:58",1.15895700059545,0,18.0938788051113,0
"2018-01-05 01:21:58",1.15490706893655,0,12.0738676374154,0
"2018-01-05 01:23:58",0.401630523710813,0,20.2082005825676,0
"2018-01-05 01:26:58",0.609764847088013,0,21.2653202459892,0
"2018-01-05 01:28:58",4.08652388261476,0,44.3858743101939,0
"2018-01-05 01:30:59",4.85923557449277,0,40.7256276659272,0
"2018-01-05 01:32:59",1.28344543210729,0,12.0808153460964,0
"2018-01-05 01:34:59",0.862765927449601,0,10.3076649112454,0
"2018-01-05 01:36:59",2.98666898967396,0,175.58631835963,0
"2018-01-05 03:40:02",14.2152901753651,0,182.082023164313,0
"2018-01-05 03:42:02",2.75360490202947,0,70.6172647327831,0
"2018-01-05 03:46:02",0.962588608271458,0,70.9481717053458,0
"2018-01-05 03:51:03",6.16815182484363,0,12.0358659959161,0
"2018-01-05 03:53:03",8.15295844357815,0,541.822081565296,0
"2018-01-05 03:55:03",11.1776272715071,0,550.828738068362,1
"2018-01-05 03:57:03",8.03895235542448,0,17.7424964497191,0
"2018-01-05 03:59:03",0.280977756855158,0,62.5120314246084,0
"2018-01-05 04:02:03",1.28555733293552,0,62.3020125598626,0
"2018-01-05 04:04:03",6.54617231496194,0,406.036146260921,0
"2018-01-05 04:06:03",19.3847459891,0,462.114669322435,0
"2018-01-05 04:08:03",23.4535165269686,0,58.8518887635529,0
"2018-01-05 04:10:03",1.29356548718752,0,12.8059158293297,0
"2018-01-05 04:15:03",2.89203536880044,0,11.6426998023019,0
"2018-01-05 04:19:03",3.14811486312782,0,14.3058362636839,0
"2018-01-05 04:21:04",3.57987918335092,0,12.7691848612959,0
"2018-01-05 04:25:04",4.73564444131218,0,6.06177083684449,0
"2018-01-05 04:30:04",4.12768631341711,0,6.93907881471331,0
"2018-01-05 04:32:04",0.518208661145697,0,164.07285731304,0
"2018-01-05 04:41:04",3.73962406760217,0,216.999953331118,0
"2018-01-05 04:43:04",2.05487322482419,0,182.511015398354,0
"2018-01-05 04:47:04",1.99169611121401,0,121.314397645995,0
"2018-01-05 04:49:04",5.84736456029047,0,8.70421880947089,0
"2018-01-05 04:51:05",7.00146105873125,0,34.8988360361868,0
"2018-01-05 04:53:05",4.52388679928464,0,37.3020863551818,0
"2018-01-05 04:54:05",2.11831300691792,0,15.6279976255609,0
"2018-01-05 04:56:05",2.61243222258051,0,24.721292851477,0
"2018-01-05 04:58:05",4.23030798178557,0,19.3543678446895,0
"2018-01-05 05:00:05",2.8789059146866,0,106.344051198165,0
"2018-01-05 05:04:05",0.605942262036921,0,108.64870276122,0
"2018-01-05 05:06:05",1.26035450658082,0,13.5237979762165,0
"2018-01-05 05:07:05",1.60101153466165,0,27.6259764279322,0
"2018-01-05 05:09:05",3.27974590124056,0,25.4618629150509,0
"2018-01-05 05:11:05",2.94686394088081,0,13.1021064164757,0
"2018-01-05 05:15:05",2.12339508845266,0,12.6120757401833,0
"2018-01-05 05:17:05",2.77596411670285,0,13.9189162078966,0
"2018-01-05 05:19:05",2.77010807266592,0,20.1333845343324,0
"2018-01-05 05:20:05",2.48512186038193,0,16.7121152442896,0
"2018-01-05 05:22:06",5.64466121120429,0,12.6263622570053,0
"2018-01-05 05:26:06",6.13380059026158,0,13.6404372231055,0
"2018-01-05 05:28:06",1.6993761059031,0,19.5405581951996,0
